codsem,Libsem,codniv,codfil1,libfil1,codfil2,libfil2,codfil3,libfil3,codfil4,libfil4,codfil5,libfil5,codfil6,libfil6,codfil7,libfil7,codfil8,libfil8,typjour,ordtypjour,fourche,ordfourche1,fourche1,valfil1,valfil2,valfil3,valfil4,valfil5,valfil6,valfil7,valfil8,lapage
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mercredi,03,08H-12H,02,-Matière,,Gestion des projets informatique,Electrical installations and apparatus,Design graphique IV,,Analysis and design drawing IV,Système electronique des vehicules automonile,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mercredi,03,08H-12H,03,-Salle,,RDC02,ETA101,ETA201,,RDC05,ETA102,,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mercredi,03,13H-17H,01,13H-17H,M. WALVEDE,M. BIBOUM,M. WALVEDE,,,M. YAMBOP,M. LADJOU,Dr EKINLEH,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mercredi,03,13H-17H,02,-Matière,Servomechanism and robotics,Gestion des projets informatique,Servoing,,,Analysis and design drawing IV,Système electronique des vehicules automonile,Nursing care to the bloc oparator,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Mercredi,03,13H-17H,03,-Salle,RDC01,RDC02,RDC01,,,RDC05,ETA102,ETA101,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Jeudi,04,08H-12H,01,08H-12H,,M. BIBOUM,,M. MBOND,,M. NGOMSI,M. LADJOU,Mme TCHUENTE,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Jeudi,04,08H-12H,02,-Matière,,Programmation orientée objet,,Montage de projets,,Computer Programming,Système electronique des vehicules automonile,Obstrical Pathology,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Jeudi,04,08H-12H,03,-Salle,,RDC01,,RDC02,,ETA204,ETA102,ETA403,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Jeudi,04,13H-17H,01,13H-17H,,M. BIBOUM,,M. MBOND,,M. NGOMSI,M. LADJOU,Mme TCHUENTE,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Jeudi,04,13H-17H,02,-Matière,,Programmation orientée objet,,Montage de projets,,Computer Programming,Système electronique des vehicules automonile,Obstrical Pathology,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Jeudi,04,13H-17H,03,-Salle,,RDC01,,RDC02,,ETA204,ETA102,ETA403,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Vendredi,05,08H-12H,01,08H-12H,,M. BIBOUM,M. FOTSO,M. MBONDO,M. NGAKO,,M. LADJOU,M. DZELAFEN,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Vendredi,05,08H-12H,02,-Matière,,Programmation pour terminaux mobiles,Electrical installations and apparatus,Atelier d’animation IV,TOXICOLOGIE,,Système electronique des vehicules automonile,HUMAN NUTRITION AND PATHOLOGY ASSOCIATED,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Vendredi,05,08H-12H,03,-Salle,,RDC04,ETA101,ETA201,ETA402,,ETA102,ETA302,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Vendredi,05,13H-17H,01,13H-17H,,M. BIBOUM,M. FOTSO,M. MBONDO,M. NGAKO,,,M. DZELAFEN,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Vendredi,05,13H-17H,02,-Matière,,Programmation pour terminaux mobiles,Electrical installations and apparatus,Atelier d’animation IV,TOXICOLOGIE,,,HUMAN NUTRITION AND PATHOLOGY ASSOCIATED,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Vendredi,05,13H-17H,03,-Salle,,RDC04,ETA101,ETA201,RDC05,,,ETA403,1
S030325-090325,semaine du 03/03/25 au 09/03/25,02,ELN,Electronics,GL,Génie Logiciel,HNDET,Electro technik,IWD,Infographie Web Design,LAB,Laboratoire technique Anglais,MEC,Mecanical Construction,MKA,Mécatronique,NUS,Nursing,Samedi,06,08H-12H,01,08H-12H,,,,,M. NGAKO,,M. AMINOU,M. DZELAFEN,1
