annee,codsem,codfil,codniv,typjour,heure,codpro,codmat
2025/2026,S011225-071225,BTSET,01,Vendredi,16,CHGOMA,TECHMESUR
2025/2026,S011225-071225,BTSET,02,Mercredi,13,JOKAMGA,MATMATIQ3
2025/2026,S011225-071225,BTSET,02,Mercredi,14,JOKAMGA,MATMATIQ3
2025/2026,S011225-071225,BTSET,02,Mercredi,15,JOKAMGA,MATMATIQ3
2025/2026,S011225-071225,BTSET,02,Mercredi,16,JOKAMGA,MATMATIQ3
2025/2026,S011225-071225,BTSET,02,Vendredi,08,JOKAMGA,MATMATIQ3
2025/2026,S011225-071225,BTSET,02,Vendredi,09,JOKAMGA,MATMATIQ3
2025/2026,S011225-071225,BTSET,02,Vendredi,10,JOKAMGA,MATMATIQ3
2025/2026,S011225-071225,BTSET,02,Vendredi,11,JOKAMGA,MATMATIQ3
2025/2026,S011225-071225,CFPACB,01,Jeudi,08,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACB,01,Jeudi,09,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACB,01,Jeudi,10,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACB,01,Jeudi,11,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACB,01,Jeudi,13,ROMBAKMENE,SECOURISM
2025/2026,S011225-071225,CFPACB,01,Jeudi,14,ROMBAKMENE,SECOURISM
2025/2026,S011225-071225,CFPACB,01,Jeudi,15,ROMBAKMENE,SECOURISM
2025/2026,S011225-071225,CFPACB,01,Jeudi,16,ROMBAKMENE,SECOURISM
2025/2026,S011225-071225,CFPACB,01,Lundi,08,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACB,01,Lundi,09,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACB,01,Lundi,10,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACB,01,Lundi,11,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACB,01,Lundi,13,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACB,01,Lundi,14,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACB,01,Lundi,15,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACB,01,Lundi,16,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACB,01,Mardi,08,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACB,01,Mardi,09,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACB,01,Mardi,10,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACB,01,Mardi,11,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACB,01,Mardi,13,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACB,01,Mardi,14,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACB,01,Mardi,15,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACB,01,Mardi,16,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACB,01,Mercredi,08,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACB,01,Mercredi,09,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACB,01,Mercredi,10,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACB,01,Mercredi,11,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACB,01,Samedi,08,THNGAKO,CHIMAPPLI
2025/2026,S011225-071225,CFPACB,01,Samedi,09,THNGAKO,CHIMAPPLI
2025/2026,S011225-071225,CFPACB,01,Samedi,10,THNGAKO,CHIMAPPLI
2025/2026,S011225-071225,CFPACB,01,Samedi,11,THNGAKO,CHIMAPPLI
2025/2026,S011225-071225,CFPACB,01,Vendredi,13,ROMBAKMENE,SECOURISM
2025/2026,S011225-071225,CFPACB,01,Vendredi,14,ROMBAKMENE,SECOURISM
2025/2026,S011225-071225,CFPACB,01,Vendredi,15,ROMBAKMENE,SECOURISM
2025/2026,S011225-071225,CFPACB,01,Vendredi,16,ROMBAKMENE,SECOURISM
2025/2026,S011225-071225,CFPACM,01,Jeudi,08,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACM,01,Jeudi,09,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACM,01,Jeudi,10,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACM,01,Jeudi,11,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACM,01,Lundi,08,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACM,01,Lundi,09,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACM,01,Lundi,10,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACM,01,Lundi,11,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACM,01,Lundi,13,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACM,01,Lundi,14,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACM,01,Lundi,15,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACM,01,Lundi,16,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACM,01,Mardi,08,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACM,01,Mardi,09,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACM,01,Mardi,10,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACM,01,Mardi,11,THNGAKO,HISPROINF
2025/2026,S011225-071225,CFPACM,01,Mardi,13,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACM,01,Mardi,14,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACM,01,Mardi,15,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACM,01,Mardi,16,ALHAPPY,CYCLDEVIE
2025/2026,S011225-071225,CFPACM,01,Mercredi,08,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACM,01,Mercredi,09,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACM,01,Mercredi,10,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACM,01,Mercredi,11,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPACM,01,Samedi,08,THNGAKO,CHIMAPPLI
2025/2026,S011225-071225,CFPACM,01,Samedi,09,THNGAKO,CHIMAPPLI
2025/2026,S011225-071225,CFPACM,01,Samedi,10,THNGAKO,CHIMAPPLI
2025/2026,S011225-071225,CFPACM,01,Samedi,11,THNGAKO,CHIMAPPLI
2025/2026,S011225-071225,CFPACM,01,Vendredi,13,ROMBAKMENE,SECOURISM
2025/2026,S011225-071225,CFPACM,01,Vendredi,14,ROMBAKMENE,SECOURISM
2025/2026,S011225-071225,CFPACM,01,Vendredi,15,ROMBAKMENE,SECOURISM
2025/2026,S011225-071225,CFPACM,01,Vendredi,16,ROMBAKMENE,SECOURISM
2025/2026,S011225-071225,CFPFCL,01,Jeudi,08,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Jeudi,09,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Jeudi,10,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Jeudi,11,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Jeudi,13,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Jeudi,14,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Jeudi,15,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Jeudi,16,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Lundi,08,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Lundi,09,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Lundi,10,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Lundi,11,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Lundi,13,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Lundi,14,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Lundi,15,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Lundi,16,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Mardi,08,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Mardi,09,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Mardi,10,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Mardi,11,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Mardi,13,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Mardi,14,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Mardi,15,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Mardi,16,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Mercredi,08,MADJONGOU,EXERPROFE
2025/2026,S011225-071225,CFPFCL,01,Mercredi,09,MADJONGOU,EXERPROFE
2025/2026,S011225-071225,CFPFCL,01,Mercredi,10,MADJONGOU,EXERPROFE
2025/2026,S011225-071225,CFPFCL,01,Mercredi,11,MADJONGOU,EXERPROFE
2025/2026,S011225-071225,CFPFCL,01,Mercredi,13,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Mercredi,14,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Mercredi,15,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Mercredi,16,MADJONGOU,SELPREINS
2025/2026,S011225-071225,CFPFCL,01,Samedi,08,CHGOMA,ELAPLAMAI
2025/2026,S011225-071225,CFPFCL,01,Samedi,09,CHGOMA,ELAPLAMAI
2025/2026,S011225-071225,CFPFCL,01,Samedi,10,CHGOMA,ELAPLAMAI
2025/2026,S011225-071225,CFPFCL,01,Samedi,11,CHGOMA,ELAPLAMAI
2025/2026,S011225-071225,CFPFCL,01,Vendredi,08,CHGOMA,ELAPLAMAI
2025/2026,S011225-071225,CFPFCL,01,Vendredi,09,CHGOMA,ELAPLAMAI
2025/2026,S011225-071225,CFPFCL,01,Vendredi,10,CHGOMA,ELAPLAMAI
2025/2026,S011225-071225,CFPFCL,01,Vendredi,11,CHGOMA,ELAPLAMAI
2025/2026,S011225-071225,CFPFCL,01,Vendredi,13,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPFCL,01,Vendredi,14,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPFCL,01,Vendredi,15,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPFCL,01,Vendredi,16,CHBRUKO,INFORMATI
2025/2026,S011225-071225,CFPISA,01,Jeudi,13,GAINDINIBOLE,INSAPPSAN
2025/2026,S011225-071225,CFPISA,01,Jeudi,14,GAINDINIBOLE,INSAPPSAN
2025/2026,S011225-071225,CFPISA,01,Jeudi,15,GAINDINIBOLE,INSAPPSAN
2025/2026,S011225-071225,CFPISA,01,Jeudi,16,GAINDINIBOLE,INSAPPSAN
2025/2026,S011225-071225,CFPISA,01,Lundi,08,CHGOMA,ENTEREPAR
2025/2026,S011225-071225,CFPISA,01,Lundi,09,CHGOMA,ENTEREPAR
2025/2026,S011225-071225,CFPISA,01,Lundi,10,CHGOMA,ENTEREPAR
2025/2026,S011225-071225,CFPISA,01,Lundi,11,CHGOMA,ENTEREPAR
