annee,codsem,codfil,codniv,typjour,fourche,heure,codpro,codmat,jour,codsal
2025/2026,S011225-071225,IGL,03,Jeudi,08H-12H,4,JUMALAVAYE,EQUADIFFE,04,B11
2025/2026,S011225-071225,IGL,03,Lundi,08H-12H,4,JUMALAVAYE,EQUADIFFE,01,B11
2025/2026,S011225-071225,IGL,03,Lundi,13H-17H,4,JUMALAVAYE,EQUADIFFE,01,B11
2025/2026,S011225-071225,IGL,03,Mercredi,08H-12H,4,KOWELVEDE,TECHNICOM,03,A33
2025/2026,S011225-071225,IGL,03,Vendredi,13H-17H,4,BIWALVEDE,CONGENSYS,05,A11
2025/2026,S011225-071225,ISA,01,Jeudi,08H-12H,4,GAINDINIBOLE,THERMODIN,04,A33
2025/2026,S011225-071225,ISA,01,Jeudi,13H-17H,4,ADMINISTR,TECINFCOM,04,A32
2025/2026,S011225-071225,ISA,01,Lundi,08H-12H,4,ADMINISTR,TECINFCOM,01,A32
2025/2026,S011225-071225,ISA,01,Lundi,13H-17H,4,JOSANGONE,STADYNFLU,01,A42
2025/2026,S011225-071225,ISA,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S011225-071225,ISA,01,Mardi,13H-17H,4,GATCHAKOUTIO,INSRESTUY,02,A12
2025/2026,S011225-071225,ISA,01,Mercredi,08H-12H,4,JOSANGONE,STADYNFLU,03,A42
2025/2026,S011225-071225,ISA,01,Mercredi,13H-17H,4,JOSANGONE,STADYNFLU,03,A42
2025/2026,S011225-071225,ISA,01,Samedi,08H-12H,4,JOKAMGA,MATMATIQ1,06,A11
2025/2026,S011225-071225,ISA,01,Samedi,13H-17H,4,GAINDINIBOLE,THERMODIN,06,A33
2025/2026,S011225-071225,ISA,01,Vendredi,08H-12H,4,GAINDINIBOLE,HYDRAULIQ,05,A31
2025/2026,S011225-071225,ISA,01,Vendredi,13H-17H,4,GAINDINIBOLE,THERMODIN,05,A33
2025/2026,S011225-071225,LTM,01,Jeudi,13H-17H,4,NCMICHAEL,ENGLISH,04,A42
2025/2026,S011225-071225,LTM,01,Lundi,08H-12H,4,RONGAHA,STATSTIC2,01,B10
2025/2026,S011225-071225,LTM,01,Lundi,13H-17H,4,AUTCHENTE,INTLOGMAN,01,A22
2025/2026,S011225-071225,LTM,01,Mercredi,08H-12H,4,RONGAHA,STATSTIC2,03,B10
2025/2026,S011225-071225,LTM,01,Samedi,08H-12H,4,NCMICHAEL,ENGLISH,06,A42
2025/2026,S011225-071225,MEB,01,Jeudi,08H-12H,4,ADMINISTR,DESSINSTY,04,A21
2025/2026,S011225-071225,MEB,01,Jeudi,13H-17H,4,CHBRUKO,TECINFCOM,04,A23
2025/2026,S011225-071225,MEB,01,Lundi,08H-12H,4,CHBRUKO,TECINFCOM,01,A23
2025/2026,S011225-071225,MEB,01,Lundi,13H-17H,4,FOTCHATCIM,BOTANANAT,01,A21
2025/2026,S011225-071225,MEB,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S011225-071225,MEB,01,Mardi,13H-17H,4,FOTCHATCIM,BOTANANAT,02,A21
2025/2026,S011225-071225,MEB,01,Mercredi,08H-12H,4,FOTCHATCIM,BOTANANAT,03,A21
2025/2026,S011225-071225,MEB,01,Mercredi,13H-17H,4,KUFOTSO,RESISMAT1,03,A23
2025/2026,S011225-071225,MEB,01,Samedi,08H-12H,4,JOKAMGA,MATMATIQ1,06,A11
2025/2026,S011225-071225,MEB,01,Samedi,13H-17H,4,KUFOTSO,STATIQUE,06,B09
2025/2026,S011225-071225,MEB,01,Vendredi,08H-12H,4,FRLENOU,DESSIBASE,05,A22
2025/2026,S011225-071225,MEB,01,Vendredi,13H-17H,4,KUFOTSO,RESISMAT1,05,A23
2025/2026,S011225-071225,MEC,01,Jeudi,08H-12H,4,YVFOTSO,CHEMISTRY,04,A31
2025/2026,S011225-071225,MEC,01,Jeudi,13H-17H,4,NCMICHAEL,ENGLISH,04,A42
2025/2026,S011225-071225,MEC,01,Mardi,08H-12H,4,HANGOMSI,ANAMANUF1,02,A32
2025/2026,S011225-071225,MEC,01,Mercredi,13H-17H,4,HANGOMSI,ANAMANUF1,03,A32
2025/2026,S011225-071225,MEC,01,Samedi,08H-12H,4,NCMICHAEL,ENGLISH,06,A42
2025/2026,S011225-071225,MEC,01,Vendredi,08H-12H,4,DENDIFON,RESISMTER,05,A41
2025/2026,S011225-071225,MEC,01,Vendredi,13H-17H,4,YVFOTSO,CHEMISTRY,05,A31
2025/2026,S011225-071225,MKA,01,Jeudi,13H-17H,4,CHBRUKO,TECINFCOM,04,B01
2025/2026,S011225-071225,MKA,01,Lundi,08H-12H,4,CHBRUKO,TECINFCOM,01,B01
2025/2026,S011225-071225,MKA,01,Lundi,13H-17H,4,CHGOMA,TECHMESUR,01,A41
2025/2026,S011225-071225,MKA,01,Mardi,08H-12H,4,JOKAMGA,MATMATIQ1,02,A11
2025/2026,S011225-071225,MKA,01,Mercredi,08H-12H,4,CHGOMA,TECHMESUR,03,A41
2025/2026,S011225-071225,MKA,01,Samedi,08H-12H,4,JOKAMGA,MATMATIQ1,06,A11
2025/2026,S011225-071225,MKA,01,Samedi,13H-17H,4,DJAMINOU,ORGCHACAR,06,A12
2025/2026,S011225-071225,MKA,01,Vendredi,08H-12H,4,ACLADJOU,DEVVEHAUT,05,A42
2025/2026,S011225-071225,MKA,01,Vendredi,13H-17H,4,ACLADJOU,DEVVEHAUT,05,A42
2025/2026,S011225-071225,MLS,01,Jeudi,08H-12H,4,YVFOTSO,CHEMISTRY,04,A01
2025/2026,S011225-071225,MLS,01,Jeudi,13H-17H,4,NCMICHAEL,ENGLISH,04,A42
2025/2026,S011225-071225,MLS,01,Lundi,13H-17H,4,CEAWUNGDEH,LIFECYCLE,01,A33
2025/2026,S011225-071225,MLS,01,Mercredi,08H-12H,4,NAMBALIDAM,SOCANTPHY,03,A22
2025/2026,S011225-071225,MLS,01,Mercredi,13H-17H,4,MADZELAFEN,GENBIOCHE,03,A01
2025/2026,S011225-071225,MLS,01,Samedi,08H-12H,4,NCMICHAEL,ENGLISH,06,A42
2025/2026,S011225-071225,MLS,01,Samedi,13H-17H,4,CATCHUENTE,ANATAPHY1,06,A31
2025/2026,S011225-071225,MLS,01,Vendredi,08H-12H,4,CATCHUENTE,ANATAPHY1,05,B11
2025/2026,S011225-071225,MLS,01,Vendredi,13H-17H,4,YVFOTSO,CHEMISTRY,05,A01
2025/2026,S011225-071225,MLS,02,Jeudi,08H-12H,4,ZEEKINLEH,INFPARDES,04,B09
2025/2026,S011225-071225,MLS,02,Mardi,13H-17H,4,YVFOTSO,BIOPHYSIC,02,B09
2025/2026,S011225-071225,MLS,02,Mercredi,08H-12H,4,YVFOTSO,BIOPHYSIC,03,B09
2025/2026,S011225-071225,MLS,02,Samedi,08H-12H,4,MADZELAFEN,CLIBIOCHE1,06,B09
2025/2026,S011225-071225,MLS,02,Samedi,13H-17H,4,RONSOM,CLINHEMA1,06,A11
2025/2026,S011225-071225,MLS,02,Vendredi,08H-12H,4,CEAWUNGDEH,MEDICENTO,05,B10
2025/2026,S011225-071225,MLS,02,Vendredi,13H-17H,4,CEAWUNGDEH,MEDICENTO,05,B10
2025/2026,S011225-071225,MLS,03,Jeudi,08H-12H,4,CEAWUNGDEH,CLINPARA2,04,B10
2025/2026,S011225-071225,MLS,03,Jeudi,13H-17H,4,CEAWUNGDEH,CLINPARA2,04,B10
2025/2026,S011225-071225,MLS,03,Mardi,08H-12H,4,CEAWUNGDEH,CLINPARA2,02,B10
2025/2026,S011225-071225,MLS,03,Mercredi,13H-17H,4,RONSOM,CLINBACTE,03,B08
2025/2026,S011225-071225,NUS,01,Jeudi,08H-12H,4,YVFOTSO,CHEMISTRY,04,A01
2025/2026,S011225-071225,NUS,01,Jeudi,13H-17H,4,NCMICHAEL,ENGLISH,04,A42
2025/2026,S011225-071225,NUS,01,Lundi,08H-12H,4,ZIKOM,HISTORYNU,01,A42
2025/2026,S011225-071225,NUS,01,Lundi,13H-17H,4,CEAWUNGDEH,LIFECYCLE,01,A33
2025/2026,S011225-071225,NUS,01,Mardi,08H-12H,4,ZIKOM,HISTORYNU,02,A42
2025/2026,S011225-071225,NUS,01,Mercredi,08H-12H,4,NAMBALIDAM,SOCANTPHY,03,A22
2025/2026,S011225-071225,NUS,01,Mercredi,13H-17H,4,MADZELAFEN,GENBIOCHE,03,A01
